file_name	session_id	individ_id	date_time	conductivity	std_conductivity
12141_2010_mk13	271232	NA	16/07/2009 00:01	0	0
12141_2011_mk13	271248	NA	19/07/2010 00:05	151	0.755
12143_2010_mk13	271233	NA	12/07/2009 00:04	0	0
12143_2012_mk13	271249	NA	19/07/2010 00:05	115	0.575
12144_2010_mk13	271234	NA	17/07/2009 00:05	200	1
12145_2010_mk13	271235	NA	17/07/2009 00:01	200	1
12145_2011_mk13	271250	NA	19/07/2010 00:06	0	0
12146_2010_mk13	271236	NA	15/07/2009 00:06	200	1
12147_2010_mk13	271237	NA	13/07/2009 00:04	32	0.16
12147_2012_mk13	271251	NA	19/07/2010 00:01	0	0
12148_2010_mk13	271238	NA	20/07/2009 00:09	0	0
12148_2011_mk13	271252	NA	19/07/2010 00:03	113	0.565
12150_2010_mk13	271239	NA	17/07/2009 00:06	200	1
12150_2011_mk13	271253	NA	19/07/2010 00:02	196	0.98
12151_2014_mk13	271240	NA	13/07/2009 00:09	0	0
12152_2010_mk13	271241	NA	21/07/2009 00:05	120	0.6
12153_2010_mk13	271242	NA	14/07/2009 00:07	0	0
12153_2011_mk13	271254	NA	19/07/2010 00:02	0	0
12154_2012_mk13	271243	NA	17/07/2009 00:03	0	0
12155_2010_mk13	271244	NA	22/07/2009 00:02	0	0
12155_2012_mk13	271255	NA	19/07/2010 00:08	0	0
12156_2010_mk13	271245	NA	17/07/2009 00:00	189	0.945
12156_2012_mk13	271256	NA	19/07/2010 00:06	200	1
12157_2010_mk13	271246	NA	19/07/2009 00:09	200	1
12160_2010_mk13	271247	NA	14/07/2009 00:00	200	1
12160_2012_mk13	271291	NA	19/07/2010 00:01	200	1
17212_2012_mk18	277140	NA	17/07/2010 00:04	195	0.975
17216_2012_mk18	277142	NA	16/07/2010 00:08	199	0.995
17313_2014_mk18	277155	NA	18/07/2010 00:07	200	1
17527_2014_mk18	277160	NA	28/06/2011 00:05	0	0
18A817_2014_mk18	270047	NA	07/08/2011 00:09	200	1
18A827_2015_mk18	277168	NA	13/07/2011 00:07	0	0
18A844_2012_mk18	277177	NA	13/07/2011 00:01	200	1
18B106_2012_mk18	276839	NA	12/06/2011 00:06	0	0
18B107_2013_mk18	276841	NA	12/07/2011 00:07	0	0
18B109_2013_mk18	276838	NA	12/06/2011 00:07	0	0
18B111_2013_mk18	276842	NA	12/07/2011 00:07	0	0
18B113_2013_mk18	276840	NA	14/07/2011 00:08	0	0
18B396_2014_mk18	269686	NA	01/07/2011 00:07	0	0
18B398_2014_mk18	269685	NA	15/07/2011 00:07	0	0
22005_2011_mk15	271257	NA	17/07/2010 00:07	0	0
22013_2012_mk15	271258	NA	13/07/2010 00:08	179	0.895
22020_2011_mk15	271259	NA	13/07/2010 00:04	0	0
22021_2012_mk15	271260	NA	13/07/2010 00:07	0	0
22026_2015_mk15	271261	NA	16/07/2010 00:01	0	0
22027_2013_mk15	271262	NA	11/07/2010 00:06	0	0
22028_2011_mk15	271263	NA	13/07/2010 00:08	0	0
22029_2012_mk15	271264	NA	18/07/2010 00:05	0	0
22032_2011_mk15	271265	NA	13/07/2010 00:03	0	0
22038_2013_mk15	271297	NA	25/05/2012 00:06	0	0
22253_2013_mk15	271298	NA	23/05/2012 00:02	0	0
22261_2011_mk15	271266	NA	16/07/2010 00:03	200	1
22268_2012_mk15	271267	NA	15/07/2010 00:04	0	0
22272_2012_mk15	271268	NA	15/07/2010 00:03	62	0.31
22274_2011_mk15	271269	NA	13/07/2010 00:08	61	0.305
22275_2011_mk15	271270	NA	16/07/2010 00:08	0	0
22277_2012_mk15	271292	NA	13/07/2011 00:08	0	0
22279_2011_mk15	271271	NA	14/07/2010 00:02	200	1
22279_2012_mk15	271293	NA	13/07/2011 00:08	0	0
22280_2011_mk15	271272	NA	11/07/2010 00:02	0	0
22281_2011_mk15	271273	NA	13/07/2010 00:03	0	0
22282_2011_mk15	271274	NA	18/07/2010 00:01	1	0.005
22284_2011_mk15	271275	NA	15/07/2010 00:07	200	1
22288_2011_mk15	271276	NA	13/07/2010 00:01	0	0
22289_2012_mk15	271277	NA	15/07/2010 00:06	0	0
22290_2013_mk15	271299	NA	24/05/2012 00:04	200	1
22291_2011_mk15	271278	NA	19/07/2010 00:04	83	0.415
22293_2011_mk15	271279	NA	19/07/2010 00:03	200	1
22294_2011_mk15	271280	NA	11/07/2010 00:00	0	0
22295_2012_mk15	271281	NA	17/07/2010 00:09	200	1
22296_2011_mk15	271282	NA	15/07/2010 00:07	0	0
22297_2012_mk15	271283	NA	17/07/2010 00:09	0	0
22298_2012_mk15	271284	NA	13/07/2010 00:00	0	0
22299_2011_mk15	271285	NA	13/07/2010 00:05	200	1
22300_2012_mk15	271286	NA	15/07/2010 00:05	0	0
22302_2011_mk15	271287	NA	15/07/2010 00:05	0	0
22303_2012_mk15	271288	NA	16/07/2010 00:06	0	0
22305_2012_mk15	271289	NA	18/07/2010 00:01	22	0.11
22308_2011_mk15	271290	NA	13/07/2010 00:02	0	0
24327_2014_mk15	277201	NA	01/06/2012 00:07	0	0
24341_2016_mk15	277202	NA	02/06/2012 00:09	0	0
24373_2013_mk15	273429	NA	08/07/2011 00:03	113	0.565
24396_2013_mk15	273430	NA	08/07/2011 00:06	0	0
