logger_model,file_basename,logger_producer
c250,.deg,Migrate Technology
c250,.lux,Migrate Technology
c250,.trn,Migrate Technology
c250,.sst,Migrate Technology
mk3006,.tem,Biotrack
mk3006,.trn,Biotrack
mk3006,.txt,Biotrack
mk3006,.act,Biotrack
mk3006,.lig,Biotrack
c330,.deg,Migrate Technology
c330,.lux,Migrate Technology
c330,.trn,Migrate Technology
c330,.sst,Migrate Technology
f100,.deg,Migrate Technology
f100,.lux,Migrate Technology
f100,.trn,Migrate Technology
f100,.sst,Migrate Technology
c65,.deg,Migrate Technology
c65,.lux,Migrate Technology
c65,.trn,Migrate Technology
c65,.sst,Migrate Technology
w65,.deg,Migrate Technology
w65,.lux,Migrate Technology
w65,.trn,Migrate Technology
w65,.sst,Migrate Technology
mk18l,.trn,BAS
mk18l,.txt,BAS
mk18l,.act,BAS
mk18l,.lig,BAS
mk18,.trn,BAS
mk18,.txt,BAS
mk18,.act,BAS
mk18,.lig,BAS
mk14,.trn,BAS
mk14,.txt,BAS
mk14,.act,BAS
mk14,.lig,BAS
mk13,.trn,BAS
mk13,.txt,BAS
mk13,.act,BAS
mk13,.lig,BAS
mk15,.tem,BAS
mk15,.trn,BAS
mk15,.txt,BAS
mk15,.act,BAS
mk15,.lig,BAS
mk4,.trn,BAS
mk4,.txt,BAS
mk4,.act,BAS
mk4,.lig,BAS
mk4,.tem,BAS
mk3005,.tem,Biotrack
mk3005,.trn,Biotrack
mk3005,.txt,Biotrack
mk3005,.act,Biotrack
mk3005,.lig,Biotrack
mk4083,.trn,Biotrack
mk4083,.txt,Biotrack
mk4083,.act,Biotrack
mk4083,.lig,Biotrack
mk4093,.trn,Biotrack
mk4093,.txt,Biotrack
mk4093,.act,Biotrack
mk4093,.lig,Biotrack
mk9,.trn,BAS
mk9,.txt,BAS
mk9,.act,BAS
mk9,.lig,BAS
mk7,.trn,BAS
mk7,.txt,BAS
mk7,.act,BAS
mk7,.lig,BAS
mk7,.tem,BAS
Intigeo-P55B1-7,.deg,Migrate Technology
Intigeo-P55B1-7,.lux,Migrate Technology
Intigeo-P55B1-7,.trn,Migrate Technology
Intigeo-P55B1-7,.sst,Migrate Technology
L250A,.bin,LOTEK
L250A,_o.bin,LOTEK
mk19,.trn,BAS
mk19,.txt,BAS
mk19,.act,BAS
mk19,.lig,BAS
mk19,.tem,BAS
mk18b,.trn,BAS
mk18b,.txt,BAS
mk18b,.act,BAS
mk18b,.lig,BAS
staroddi,.csv,Staroddi
