ringing info,,,,logger info,,,,,individual information,,,,,,morphometrics,,,,breeding status,,,,,,breeding location,,,,,samples,,,other,,,,,
date,ring_number,euring_code,color_ring,logger_status,logger_model_retrieved,logger_id_retrieved,logger_model_deployed,logger_id_deployed,species,morph,subspecies,age,sex,sexing_method,weight,scull,tarsus,wing,breeding_stage,eggs,chicks,hatching_success,breeding_success,breeding_success_criterion,country,colony,colony_latitude,colony_longitude,nest_id,blood_sample,feather_sample,other_samples,data_responsible,back_on_nest,logger_mount_method,comment,"other relevant variables, e.g. 'gonys', 'culmen, ",old_ring_number
6/7/2016,CA44721,NOS,,"individual caught (logger retrieved, bird released without logger)",mk3006,v2014037,,,common eider,,,adult_unknown,female,morphology,1780,,,,incubating,5,,,,,norway,sklinna,65.202,10.995,,"no, no blood was sampled","yes, feathers was sampled for different reasons - results can/may be accessed by SEATRACK",miljøprøvebanken_egg and down,svein-håkon lorentsen,yes,tarsus,,,
6/6/2016,477027,NOS,J0823,individual observed (logger still attached),,,,,herring gull,,,adult_unknown,unknown,dna,,,,,incubating,1,,,,,norway,sklinna,65.202,10.995,,"no, no blood was sampled","no, no feathers was sampled",,svein-håkon lorentsen,,,,,
6/6/2016,4260261,NOS,J0856,individual observed (logger still attached),,,,,herring gull,,,adult_unknown,unknown,dna,,,,,unknown,,,,,,norway,sklinna,65.202,10.995,,"no, no blood was sampled","no, no feathers was sampled",,svein-håkon lorentsen,,,,,
6/6/2016,477037,NOS,J0834,individual observed (logger still attached),,,,,herring gull,,,adult_unknown,unknown,dna,,,,,nonbreeding/failed_breeder,,,,,,norway,sklinna,65.202,10.995,,"no, no blood was sampled","no, no feathers was sampled",,svein-håkon lorentsen,,,,,
6/6/2016,477044,NOS,J0841,individual observed (logger still attached),,,,,herring gull,,,adult_unknown,unknown,dna,,,,,nonbreeding/failed_breeder,,,,,,norway,sklinna,65.202,10.995,,"no, no blood was sampled","no, no feathers was sampled",,svein-håkon lorentsen,,,,,
6/6/2016,4260263,NOS,J0858,individual observed (logger still attached),,,,,herring gull,,,adult_unknown,unknown,dna,,,,,unknown,,,,,,norway,sklinna,65.202,10.995,,"no, no blood was sampled","no, no feathers was sampled",,svein-håkon lorentsen,,,,,
6/9/2016,477032,NOS,J0828,"individual caught (logger retrieved, bird released without logger)",mk3006,v2014025,,,herring gull,,,adult_unknown,unknown,dna,940,,,,rearing chicks,0,2,1,,,norway,sklinna,65.202,10.995,,"no, no blood was sampled","yes, feathers was sampled for SEATRACK/ARCTOX-full sample(body, head (alcids), sexing)",,svein-håkon lorentsen,yes,,,,
6/11/2016,6224078,NOS,,individual caught (first deployment),,,mk4083,C1292,black-legged kittiwake,,,adult_unknown,unknown,dna,415,93.8,36.5,333,incubating,,0,unknown,unknown,20d,norway,sklinna,65.202,10.995,"1 lamp, red house","no, no blood was sampled","yes, feathers was sampled for SEATRACK/ARCTOX-full sample(body, head (alcids), sexing)",,svein-håkon lorentsen,yes,tarsus,,,
6/11/2016,6224080,NOS,,individual caught (first deployment),,,mk4083,C1295,black-legged kittiwake,,,adult_unknown,unknown,dna,321,90.5,33.5,307,incubating,,0,unknown,unknown,20d,norway,sklinna,65.202,10.995,"2 lamp, red house","no, no blood was sampled","yes, feathers was sampled for SEATRACK/ARCTOX-full sample(body, head (alcids), sexing)",feathers for DNA,svein-håkon lorentsen,yes,tarsus,new metal ring,,
6/11/2016,6136807,NOS,9M,individual caught (logger retrieved and replaced),mk4083,C406,mk4083,C1278,black-legged kittiwake,,,adult_unknown,unknown,dna,381,,,,incubating,,0,unknown,unknown,20d,norway,sklinna,65.202,10.995,"nest 1, seaside yellow house","no, no blood was sampled","yes, feathers was sampled for SEATRACK/ARCTOX-full sample(body, head (alcids), sexing)",,svein-håkon lorentsen,yes,tarsus,,,
6/11/2016,6136832,NOS,S7,individual caught (logger retrieved and replaced),mk4083,C415,mk4083,C1288,black-legged kittiwake,,,adult_unknown,unknown,dna,393,,,,incubating,2,0,unknown,unknown,20d,norway,sklinna,65.202,10.995,"nest 1, third door red house","no, no blood was sampled","yes, feathers was sampled for SEATRACK/ARCTOX-full sample(body, head (alcids), sexing)",dietsample #1,svein-håkon lorentsen,yes,tarsus,,,
6/12/2016,6198333,NOS,5P,individual caught (logger retrieved and replaced),mk4083,C393,mk4083,C1285,black-legged kittiwake,,,adult_unknown,unknown,dna,455,,,,incubating,2,0,0,0,20d,norway,sklinna,65.202,10.995,"nest 11, front yellow house","no, no blood was sampled","yes, feathers was sampled for SEATRACK/ARCTOX-full sample(body, head (alcids), sexing)",,svein-håkon lorentsen,yes,tarsus,,,
6/12/2016,6211703,NOS,C9,individual caught (logger retrieved and replaced),mk4083,C418,mk4083,C1283,black-legged kittiwake,,,adult_unknown,unknown,dna,436,,,,incubating,2,0,unknown,unknown,20d,norway,sklinna,65.202,10.995,"nest 9, front yellow house","no, no blood was sampled","yes, feathers was sampled for SEATRACK/ARCTOX-full sample(body, head (alcids), sexing)",,svein-håkon lorentsen,yes,tarsus,,,
6/12/2016,6224076,NOS,,individual caught (logger retrieved and replaced),mk4083,C399,mk4083,C1281,black-legged kittiwake,,,adult_unknown,unknown,dna,382,,,,incubating,,0,0,0,20d,norway,sklinna,65.202,10.995,"nest 18, roof front yellow house","no, no blood was sampled","yes, feathers was sampled for SEATRACK/ARCTOX-full sample(body, head (alcids), sexing)",,svein-håkon lorentsen,yes,tarsus,,,
6/12/2016,6136802,NOS,5N,individual caught (logger retrieved and replaced),mk4083,C398,mk4083,C1280,black-legged kittiwake,,,adult_unknown,unknown,dna,359,,,,incubating,,0,unknown,unknown,20d,norway,sklinna,65.202,10.995,"nest 19, roof front yellow house","no, no blood was sampled","yes, feathers was sampled for SEATRACK/ARCTOX-full sample(body, head (alcids), sexing)",,svein-håkon lorentsen,yes,tarsus,,,
6/12/2016,6136811,NOS,N7,individual caught (logger retrieved and replaced),mk4083,C413,mk4083,C1284,black-legged kittiwake,,,adult_unknown,unknown,dna,387,,,,incubating,,0,unknown,unknown,20d,norway,sklinna,65.202,10.995,"1 lamp, red house","no, no blood was sampled","yes, feathers was sampled for SEATRACK/ARCTOX-full sample(body, head (alcids), sexing)",,svein-håkon lorentsen,yes,tarsus,,,
6/12/2016,6136814,NOS,5R,individual caught (logger retrieved and replaced),mk4083,C417,mk4083,C1298,black-legged kittiwake,,,adult_unknown,unknown,dna,384,,,,incubating,,0,unknown,unknown,20d,norway,sklinna,65.202,10.995,"2 lamp, red house","no, no blood was sampled","yes, feathers was sampled for SEATRACK/ARCTOX-full sample(body, head (alcids), sexing)",,svein-håkon lorentsen,yes,tarsus,,,
6/12/2016,6211986,NOS,C3,individual caught (logger retrieved and replaced),mk4083,C394,mk4083,C1276,black-legged kittiwake,,,adult_unknown,unknown,dna,361,,,,incubating,2,0,unknown,unknown,20d,norway,sklinna,65.202,10.995,"nest 9, front yellow house","no, no blood was sampled","yes, feathers was sampled for SEATRACK/ARCTOX-full sample(body, head (alcids), sexing)",,svein-håkon lorentsen,yes,tarsus,,,
6/13/2016,6211981,NOS,2B,individual caught (logger retrieved and replaced),mk4083,C410,mk4083,C1296,black-legged kittiwake,,,adult_unknown,unknown,dna,436,,,,incubating,2,0,0,0,20d,norway,sklinna,65.202,10.995,"nest 11, front yellow house","no, no blood was sampled","yes, feathers was sampled for SEATRACK/ARCTOX-full sample(body, head (alcids), sexing)",,svein-håkon lorentsen,yes,tarsus,,,
6/13/2016,6138296,NOS,2L,individual caught (logger retrieved and replaced),mk4083,C404,mk4083,C1297,black-legged kittiwake,,,adult_unknown,unknown,dna,377,,,,incubating,,,0,0,20d,norway,sklinna,65.202,10.995,"nest 18, roof front yellow house","no, no blood was sampled","yes, feathers was sampled for SEATRACK/ARCTOX-full sample(body, head (alcids), sexing)",,svein-håkon lorentsen,yes,tarsus,,,
6/13/2016,6136841,NOS,7T,individual caught (logger retrieved and replaced),mk4083,C402,mk4083,C1299,black-legged kittiwake,,,adult_unknown,unknown,dna,366,,,,incubating,,,0,0,20d,norway,sklinna,65.202,10.995,"nest 17, roof front yellow house","no, no blood was sampled","yes, feathers was sampled for SEATRACK/ARCTOX-full sample(body, head (alcids), sexing)",,svein-håkon lorentsen,yes,tarsus,,,
