file_name	session_id	individ_id	date_time	wet_temp_min	wet_temp_max	wet_temp_mean	num_samples
22005_2011_mk15	271257	NA	18/07/2010 10:37	NA	NA	11.875	NA
22013_2012_mk15	271258	NA	13/07/2010 00:28	NA	NA	12.5	NA
22020_2011_mk15	271259	NA	13/07/2010 11:24	NA	NA	13	NA
22021_2012_mk15	271260	NA	13/07/2010 05:07	NA	NA	12.125	NA
22026_2015_mk15	271261	NA	16/07/2010 04:51	NA	NA	12.5	NA
22027_2013_mk15	271262	NA	13/07/2010 23:36	NA	NA	12.625	NA
22028_2011_mk15	271263	NA	13/07/2010 11:38	NA	NA	12.75	NA
22029_2012_mk15	271264	NA	18/07/2010 21:35	NA	NA	13.75	NA
22038_2013_mk15	271297	NA	31/05/2012 07:16	NA	NA	9.5	NA
22253_2013_mk15	271298	NA	23/05/2012 13:12	NA	NA	10.25	NA
22261_2011_mk15	271266	NA	16/07/2010 00:03	NA	NA	12.5	NA
22268_2012_mk15	271267	NA	15/07/2010 10:24	NA	NA	12.25	NA
22272_2012_mk15	271268	NA	18/07/2010 11:43	NA	NA	13.25	NA
22274_2011_mk15	271269	NA	13/07/2010 04:48	NA	NA	12	NA
22275_2011_mk15	271270	NA	16/07/2010 12:18	NA	NA	13.5	NA
22277_2012_mk15	271292	NA	13/07/2011 00:38	NA	NA	13.375	NA
22279_2011_mk15	271271	NA	14/07/2010 01:32	NA	NA	12.75	NA
22279_2012_mk15	271293	NA	16/07/2011 18:58	NA	NA	13.125	NA
22280_2011_mk15	271272	NA	15/07/2010 06:52	NA	NA	12.5	NA
22281_2011_mk15	271273	NA	13/07/2010 05:33	NA	NA	11.875	NA
22282_2011_mk15	271274	NA	18/07/2010 02:31	NA	NA	11.5	NA
22284_2011_mk15	271275	NA	15/07/2010 00:07	NA	NA	12.375	NA
22288_2011_mk15	271276	NA	13/07/2010 00:31	NA	NA	13	NA
22289_2012_mk15	271277	NA	15/07/2010 05:46	NA	NA	12.75	NA
